ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
shark,sparrow,bat,monkey,fox,giraffe,butterfly,crocodile,mouse
snake,monkey,butterfly,spider,sparrow,ladybug,dolphin,ant,turtle
elephant,hog,lizard,cat,goat,turkey,ladybug,ant,whale
whale,tiger,giraffe,pigeon,snail,spider,bat,hog,bluebird
frog,owl,tiger,snake,cat,hog,cow,dog,snail
eagle,sheep,dolphin,pigeon,bear,crocodile,giraffe,mouse,rat
frog,fox,mouse,goat,butterfly,bluebird,eagle,rat,crocodile
giraffe,crocodile,goldfish,shark,eagle,cow,bear,tiger,pigeon
fox,turtle,goat,cat,lizard,ant,bat,ladybug,dolphin
snake,horse,fox,monkey,turtle,sheep,turkey,crocodile,whale
lizard,bat,cow,shark,snail,hog,bear,dog,fox
rat,bat,sheep,cat,eagle,ladybug,turtle,horse,whale
goldfish,snail,snake,horse,bluebird,sparrow,sheep,crocodile,bat
shark,lizard,duck,bluebird,butterfly,ant,dolphin,mouse,tiger
horse,goat,giraffe,owl,bluebird,turtle,sheep,turkey,crocodile
duck,bear,turkey,tiger,pigeon,lizard,frog,cow,turtle
lizard,goat,rat,goldfish,eagle,tiger,whale,dolphin,horse
bear,spider,cow,snake,shark,bat,whale,goat,fox
cat,pigeon,lizard,bat,rat,bluebird,ladybug,whale,owl
sheep,monkey,dolphin,spider,owl,frog,turtle,snake,hog
crocodile,snail,bluebird,horse,owl,giraffe,snake,rat,ant
spider,goat,sparrow,dog,elephant,bat,mouse,fox,bluebird
rat,cat,goat,shark,turkey,butterfly,sheep,snake,spider
fox,sheep,hog,spider,snail,mouse,elephant,cat,ant
bluebird,butterfly,sparrow,mouse,sheep,goat,turkey,crocodile,goldfish
butterfly,monkey,dolphin,sparrow,giraffe,snake,horse,cat,whale
tiger,owl,butterfly,turkey,spider,duck,bear,frog,bluebird
monkey,dolphin,ant,crocodile,duck,turtle,bat,dog,horse
whale,hog,owl,shark,turtle,dog,turkey,spider,mouse
spider,monkey,duck,shark,butterfly,frog,rat,giraffe,ladybug
spider,ant,duck,dog,giraffe,mouse,turtle,snail,tiger
tiger,whale,dolphin,dog,fox,bat,crocodile,ant,sparrow
butterfly,pigeon,ant,goldfish,mouse,spider,dog,rat,bear
giraffe,frog,dolphin,butterfly,rat,horse,bluebird,sparrow,fox
dolphin,horse,monkey,whale,snake,sparrow,frog,cow,shark
elephant,cat,turkey,tiger,butterfly,snail,bat,shark,monkey
dog,tiger,owl,pigeon,monkey,lizard,giraffe,cow,ladybug
crocodile,butterfly,tiger,frog,sparrow,bear,duck,turkey,cow
dolphin,bat,mouse,hog,giraffe,snail,ladybug,crocodile,rat
eagle,bluebird,tiger,bat,fox,spider,rat,dolphin,owl
spider,dolphin,snake,owl,goldfish,pigeon,sheep,turkey,horse
shark,turkey,goat,sparrow,cat,bear,whale,dog,monkey
fox,goat,bluebird,goldfish,pigeon,giraffe,tiger,bear,dolphin
dolphin,pigeon,eagle,elephant,lizard,butterfly,monkey,owl,whale
ant,spider,duck,horse,fox,goldfish,rat,butterfly,giraffe
shark,pigeon,owl,whale,rat,frog,spider,cat,sheep
mouse,butterfly,goat,crocodile,lizard,snail,eagle,duck,cat
turkey,ant,cat,shark,bluebird,giraffe,bat,turtle,pigeon
monkey,lizard,whale,snail,hog,sparrow,ladybug,goat,bear
cat,butterfly,dog,snail,hog,snake,dolphin,cow,sheep
ant,tiger,elephant,owl,goat,bluebird,fox,duck,frog
duck,cat,dolphin,elephant,rat,fox,goat,monkey,snail
turkey,horse,eagle,ant,ladybug,tiger,bat,monkey,duck
hog,crocodile,eagle,monkey,giraffe,bat,snake,turtle,shark
duck,goat,bluebird,owl,snail,whale,bat,horse,sheep
bear,rat,tiger,hog,ladybug,monkey,giraffe,horse,turkey
cat,elephant,goat,dog,turtle,fox,monkey,sheep,horse
goldfish,turkey,ladybug,turtle,butterfly,whale,elephant,ant,mouse
monkey,lizard,mouse,goat,turkey,giraffe,goldfish,elephant,fox
shark,turtle,goldfish,dolphin,horse,cow,hog,tiger,ladybug
turkey,giraffe,owl,snake,mouse,sheep,cat,butterfly,snail
giraffe,cat,rat,frog,sheep,lizard,hog,mouse,whale
mouse,sparrow,monkey,fox,hog,lizard,ladybug,bear,butterfly
tiger,cat,mouse,owl,lizard,shark,snail,pigeon,frog
bat,shark,spider,whale,hog,frog,dog,goldfish,giraffe
spider,goat,turkey,lizard,bluebird,cow,hog,cat,dolphin
butterfly,frog,goldfish,ladybug,cow,fox,duck,eagle,mouse
sparrow,tiger,bat,sheep,goldfish,dolphin,snake,giraffe,bear
sheep,horse,turkey,goat,fox,dolphin,rat,dog,hog
bat,giraffe,cow,bluebird,butterfly,ladybug,owl,mouse,dog
tiger,dolphin,sparrow,ladybug,cow,giraffe,sheep,monkey,elephant
turtle,pigeon,duck,goldfish,cat,lizard,sheep,whale,rat
turtle,ladybug,owl,eagle,lizard,dog,monkey,bear,sheep
elephant,turtle,eagle,owl,ant,crocodile,rat,goat,sparrow
pigeon,spider,ant,rat,goldfish,snail,cow,dolphin,cat
horse,monkey,bear,pigeon,cow,snake,elephant,sparrow,dolphin
eagle,goldfish,dog,monkey,frog,shark,turtle,lizard,ladybug
cat,mouse,crocodile,ladybug,sparrow,duck,goldfish,frog,lizard
butterfly,owl,ant,turkey,tiger,sheep,crocodile,bear,snail
ladybug,dog,giraffe,elephant,whale,monkey,frog,turtle,snake
frog,whale,ladybug,shark,rat,monkey,eagle,elephant,dolphin
snail,goldfish,lizard,goat,frog,turkey,sparrow,owl,dog
cow,ant,dog,fox,eagle,tiger,dolphin,monkey,bear
hog,snake,cow,crocodile,ant,elephant,bluebird,spider,dog
bluebird,monkey,rat,snake,owl,dog,spider,shark,cat
dolphin,fox,bat,tiger,sheep,goat,turtle,bear,ladybug
pigeon,lizard,snake,bat,hog,bluebird,goat,elephant,monkey
owl,goat,goldfish,snail,sparrow,whale,mouse,sheep,ladybug
dolphin,turkey,snail,cat,goldfish,hog,pigeon,eagle,dog
bluebird,giraffe,duck,goat,eagle,ant,ladybug,snail,mouse
rat,cow,lizard,pigeon,hog,mouse,ant,tiger,frog
turtle,snail,elephant,duck,sparrow,snake,cat,cow,ant
eagle,duck,pigeon,goat,hog,mouse,whale,cat,butterfly
shark,snake,eagle,spider,hog,frog,snail,horse,elephant
crocodile,dog,pigeon,bat,mouse,dolphin,monkey,eagle,fox
snake,giraffe,snail,cow,shark,dog,bear,frog,elephant
mouse,cow,dolphin,whale,giraffe,goldfish,rat,frog,snake
crocodile,rat,cat,sparrow,duck,giraffe,elephant,lizard,whale
ladybug,rat,cow,snail,monkey,snake,turkey,sheep,pigeon
goldfish,frog,shark,snail,turkey,eagle,ladybug,snake,dolphin
cat,eagle,spider,crocodile,shark,frog,elephant,turtle,bear
sparrow,lizard,snail,ant,horse,bluebird,rat,monkey,eagle
sparrow,cat,dog,hog,shark,turtle,goat,pigeon,turkey
goat,duck,cow,whale,mouse,spider,rat,sheep,horse
ant,monkey,goldfish,eagle,snake,spider,sparrow,pigeon,ladybug
snake,tiger,frog,duck,owl,dog,goldfish,goat,bat
dog,mouse,cat,ant,shark,turtle,pigeon,dolphin,monkey
ladybug,butterfly,turkey,cow,sparrow,goldfish,horse,crocodile,bluebird
lizard,tiger,mouse,duck,ladybug,dolphin,owl,pigeon,cat
elephant,duck,snake,pigeon,fox,horse,spider,goldfish,cow
bear,shark,cow,dog,duck,crocodile,eagle,elephant,turtle
