ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
sparrow,mouse,horse,turtle,whale,pigeon,rat,elephant,spider
mouse,sparrow,hog,monkey,bear,lizard,ladybug,fox,butterfly
fox,sheep,snail,hog,cat,mouse,elephant,spider,ant
mouse,dog,ant,horse,pigeon,snail,duck,tiger,shark
crocodile,snail,owl,bluebird,rat,giraffe,snake,horse,ant
elephant,duck,fox,snake,goldfish,horse,spider,pigeon,cow
crocodile,dog,mouse,pigeon,eagle,dolphin,monkey,bat,fox
pigeon,lizard,hog,snake,elephant,bluebird,goat,bat,monkey
bear,shark,duck,cow,elephant,crocodile,eagle,dog,turtle
giraffe,goat,ladybug,monkey,bat,pigeon,crocodile,turkey,duck
cat,elephant,turtle,goat,sheep,fox,monkey,dog,horse
cow,duck,whale,snail,crocodile,sheep,shark,goat,spider
dog,giraffe,butterfly,bear,lizard,bluebird,elephant,frog,eagle
rat,bat,eagle,sheep,horse,ladybug,turtle,cat,whale
bat,fox,sheep,crocodile,snake,turtle,snail,rat,lizard
dog,whale,crocodile,butterfly,elephant,turkey,goat,hog,bat
owl,cow,ant,turkey,frog,sparrow,elephant,eagle,mouse
tiger,owl,spider,butterfly,frog,duck,bear,turkey,bluebird
fox,snail,shark,owl,duck,turkey,crocodile,butterfly,spider
bat,giraffe,butterfly,cow,mouse,ladybug,owl,bluebird,dog
turtle,ladybug,frog,monkey,dolphin,bat,tiger,fox,mouse
giraffe,cat,sheep,rat,mouse,lizard,hog,frog,whale
duck,bear,pigeon,turkey,cow,lizard,frog,tiger,turtle
horse,dog,frog,duck,shark,tiger,lizard,mouse,butterfly
lizard,goat,eagle,rat,dolphin,tiger,whale,goldfish,horse
frog,owl,cat,tiger,dog,hog,cow,snake,snail
whale,fox,ant,eagle,horse,sheep,rat,cat,dolphin
bluebird,giraffe,eagle,duck,snail,ant,ladybug,goat,mouse
turkey,owl,cow,dolphin,butterfly,dog,lizard,sparrow,goat
ant,tiger,goat,elephant,duck,bluebird,fox,owl,frog
snake,rat,goat,ant,spider,bluebird,mouse,goldfish,pigeon
sheep,horse,fox,turkey,dog,dolphin,rat,goat,hog
hog,crocodile,giraffe,eagle,turtle,bat,snake,monkey,shark
butterfly,goat,hog,ladybug,giraffe,elephant,duck,dolphin,bluebird
eagle,bluebird,fox,tiger,dolphin,spider,rat,bat,owl
hog,sparrow,bluebird,elephant,snail,mouse,bear,owl,cat
snake,tiger,owl,frog,goat,dog,goldfish,duck,bat
duck,giraffe,shark,mouse,dog,crocodile,spider,turtle,cow
goldfish,spider,lizard,monkey,cat,whale,cow,hog,elephant
turtle,goat,shark,turkey,bluebird,elephant,giraffe,cow,crocodile
sheep,pigeon,bear,cow,crocodile,bat,sparrow,ladybug,snail
whale,hog,turtle,owl,spider,dog,turkey,shark,mouse
rat,cow,hog,lizard,tiger,mouse,ant,pigeon,frog
cat,eagle,shark,spider,turtle,frog,elephant,crocodile,bear
bear,hog,dolphin,turtle,duck,bluebird,mouse,sheep,turkey
owl,eagle,rat,bear,dolphin,dog,butterfly,monkey,frog
butterfly,monkey,giraffe,dolphin,cat,snake,horse,sparrow,whale
bat,cat,snail,turkey,tiger,duck,pigeon,horse,snake
giraffe,frog,rat,dolphin,sparrow,horse,bluebird,butterfly,fox
ant,monkey,snake,goldfish,pigeon,spider,sparrow,eagle,ladybug
rat,cat,turkey,goat,snake,butterfly,sheep,shark,spider
lizard,bat,crocodile,frog,sparrow,shark,snake,turkey,turtle
dog,rat,turtle,goldfish,snail,sparrow,horse,fox,shark
turkey,hog,bear,frog,horse,spider,whale,rat,monkey
giraffe,turtle,owl,ant,dolphin,sparrow,ladybug,snake,turkey
elephant,snake,giraffe,dog,bat,spider,bluebird,mouse,monkey
ladybug,rat,monkey,cow,sheep,snake,turkey,snail,pigeon
sparrow,lizard,horse,snail,monkey,bluebird,rat,ant,eagle
bluebird,butterfly,sheep,sparrow,crocodile,goat,turkey,mouse,goldfish
cat,mouse,sparrow,crocodile,frog,duck,goldfish,ladybug,lizard
pigeon,mouse,shark,elephant,crocodile,turkey,bluebird,owl,bear
bluebird,monkey,owl,rat,shark,dog,spider,snake,cat
hog,duck,horse,dolphin,goat,whale,pigeon,lizard,frog
cow,elephant,owl,bluebird,giraffe,crocodile,whale,turtle,mouse
bear,spider,shark,cow,goat,bat,whale,snake,fox
bluebird,fox,hog,frog,goldfish,bat,turtle,crocodile,dolphin
whale,sheep,ladybug,goldfish,eagle,bear,monkey,goat,crocodile
ladybug,eagle,goat,duck,whale,bear,tiger,spider,elephant
elephant,hog,goat,lizard,ant,turkey,ladybug,cat,whale
snake,cat,crocodile,hog,bear,eagle,elephant,turkey,lizard
giraffe,crocodile,eagle,goldfish,tiger,cow,bear,shark,pigeon
dolphin,horse,snake,monkey,cow,sparrow,frog,whale,shark
goat,duck,mouse,cow,sheep,spider,rat,whale,horse
butterfly,pigeon,mouse,ant,rat,spider,dog,goldfish,bear
elephant,turtle,ant,eagle,goat,crocodile,rat,owl,sparrow
frog,horse,duck,whale,turtle,giraffe,ant,dolphin,pigeon
snake,monkey,sparrow,butterfly,ant,ladybug,dolphin,spider,turtle
frog,goldfish,lizard,butterfly,snail,sheep,spider,fox,dog
owl,goat,sparrow,goldfish,sheep,whale,mouse,snail,ladybug
shark,snake,hog,eagle,horse,frog,snail,spider,elephant
eagle,duck,hog,pigeon,cat,mouse,whale,goat,butterfly
snake,giraffe,shark,snail,frog,dog,bear,cow,elephant
spider,monkey,butterfly,duck,giraffe,frog,rat,shark,ladybug
monkey,whale,spider,sheep,bluebird,eagle,butterfly,snail,pigeon
monkey,dolphin,duck,ant,dog,turtle,bat,crocodile,horse
bluebird,monkey,dog,hog,frog,cow,lizard,bear,horse
dolphin,pigeon,lizard,eagle,owl,butterfly,monkey,elephant,whale
duck,goat,snail,bluebird,horse,whale,bat,owl,sheep
bat,spider,lizard,sparrow,bear,dolphin,rat,goat,goldfish
horse,owl,pigeon,dolphin,rat,turtle,ladybug,cat,snail
snail,goldfish,frog,lizard,owl,turkey,sparrow,goat,dog
turkey,horse,ladybug,eagle,monkey,tiger,bat,ant,duck
whale,crocodile,elephant,bluebird,goat,tiger,sparrow,snake,frog
turkey,ant,bluebird,cat,turtle,giraffe,bat,shark,pigeon
ant,sheep,mouse,lizard,bat,dog,dolphin,whale,shark
giraffe,dog,hog,cow,snail,elephant,bear,sheep,spider
sheep,eagle,horse,pigeon,fox,ladybug,whale,giraffe,lizard
ladybug,lizard,goldfish,shark,cat,bluebird,bat,ant,owl
shark,lizard,butterfly,duck,mouse,ant,dolphin,bluebird,tiger
sparrow,owl,dolphin,goldfish,ladybug,goat,dog,butterfly,fox
horse,monkey,cow,bear,sparrow,snake,elephant,pigeon,dolphin
turkey,giraffe,mouse,owl,butterfly,sheep,cat,snake,snail
frog,whale,rat,ladybug,elephant,monkey,eagle,shark,dolphin
monkey,giraffe,duck,rat,fox,ant,shark,cow,tiger
dog,mouse,shark,cat,dolphin,turtle,pigeon,ant,monkey
horse,sheep,hog,turkey,duck,ant,butterfly,goldfish,spider
frog,ant,cat,duck,turkey,bat,bear,hog,sparrow
tiger,turkey,monkey,rat,horse,hog,goldfish,bear,giraffe
lizard,bat,snail,cow,dog,hog,bear,shark,fox
bat,shark,hog,spider,goldfish,frog,dog,whale,giraffe
turtle,giraffe,crocodile,butterfly,hog,frog,horse,spider,fox
