ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
dolphin,snail,turkey,eagle,pigeon,dog,cat,hog,goldfish
cow,snail,duck,crocodile,shark,spider,goat,sheep,whale
snake,ant,rat,spider,mouse,pigeon,goldfish,bluebird,goat
shark,eagle,snake,horse,snail,elephant,spider,frog,hog
eagle,fox,snake,elephant,ant,owl,dog,horse,ladybug
turkey,frog,hog,horse,whale,monkey,rat,spider,bear
eagle,tiger,bluebird,dolphin,rat,owl,bat,spider,fox
fox,goat,turtle,ladybug,bat,dolphin,cat,ant,lizard
crocodile,hog,snake,dog,horse,fox,spider,turtle,shark
duck,turkey,bear,cow,frog,turtle,tiger,lizard,pigeon
dolphin,cow,frog,tiger,turtle,ant,duck,bluebird,spider
mouse,elephant,frog,turkey,bat,giraffe,dog,ant,spider
dolphin,monkey,horse,cow,frog,shark,whale,sparrow,snake
cow,dog,ant,monkey,dolphin,bear,fox,tiger,eagle
monkey,sheep,whale,bluebird,butterfly,pigeon,snail,eagle,spider
goldfish,snake,snail,crocodile,sheep,bat,horse,sparrow,bluebird
snake,frog,tiger,goat,goldfish,bat,duck,dog,owl
dog,bear,giraffe,lizard,elephant,eagle,frog,bluebird,butterfly
sparrow,sheep,tiger,lizard,frog,cow,duck,ant,crocodile
cat,turkey,ant,bat,snail,bluebird,tiger,giraffe,hog
dog,goldfish,rat,snail,horse,shark,fox,sparrow,turtle
dolphin,bat,fox,bear,turtle,ladybug,tiger,goat,sheep
giraffe,dolphin,frog,sparrow,bluebird,fox,butterfly,horse,rat
elephant,horse,crocodile,frog,bear,dolphin,sheep,pigeon,turtle
tiger,dolphin,whale,ant,crocodile,sparrow,dog,bat,fox
frog,mouse,fox,rat,eagle,crocodile,goat,bluebird,butterfly
cat,spider,eagle,turtle,elephant,bear,crocodile,frog,shark
whale,bluebird,crocodile,goat,sparrow,frog,snake,tiger,elephant
goldfish,shark,frog,snake,ladybug,dolphin,snail,eagle,turkey
sparrow,dog,cat,pigeon,goat,turkey,hog,turtle,shark
goat,sparrow,frog,tiger,owl,turkey,monkey,bat,goldfish
crocodile,cat,rat,lizard,elephant,whale,sparrow,giraffe,duck
hog,dolphin,duck,goat,pigeon,frog,lizard,whale,horse
whale,giraffe,tiger,hog,bat,bluebird,pigeon,spider,snail
horse,giraffe,goat,turkey,sheep,crocodile,owl,turtle,bluebird
tiger,butterfly,owl,frog,bear,bluebird,turkey,duck,spider
eagle,hog,turtle,turkey,sparrow,cow,snail,cat,frog
cat,goat,elephant,sheep,monkey,horse,dog,fox,turtle
mouse,monkey,sparrow,bear,ladybug,butterfly,fox,lizard,hog
goldfish,bear,fox,tiger,bat,horse,owl,rat,giraffe
crocodile,tiger,butterfly,turkey,duck,cow,frog,bear,sparrow
cow,bluebird,elephant,giraffe,whale,mouse,turtle,crocodile,owl
dog,owl,tiger,cow,giraffe,ladybug,pigeon,lizard,monkey
pigeon,ant,spider,dolphin,cow,cat,rat,snail,goldfish
eagle,dolphin,sheep,mouse,giraffe,rat,pigeon,crocodile,bear
elephant,turkey,cat,shark,bat,monkey,tiger,snail,butterfly
duck,bluebird,goat,horse,bat,sheep,owl,whale,snail
bear,tiger,rat,horse,giraffe,turkey,hog,monkey,ladybug
cat,dog,butterfly,cow,dolphin,sheep,snail,snake,hog
dolphin,mouse,bat,crocodile,ladybug,rat,hog,snail,giraffe
ladybug,giraffe,dog,turtle,frog,snake,elephant,monkey,whale
sheep,owl,tiger,snake,mouse,cat,elephant,shark,bluebird
horse,eagle,monkey,fox,tiger,whale,bat,mouse,cow
turtle,owl,ladybug,bear,monkey,sheep,eagle,dog,lizard
turkey,owl,giraffe,butterfly,cat,snail,snake,sheep,mouse
owl,fox,duck,hog,bat,whale,snake,horse,goat
turtle,elephant,snail,cow,cat,ant,duck,snake,sparrow
spider,pigeon,eagle,whale,bear,butterfly,crocodile,shark,goldfish
duck,ant,sheep,eagle,turkey,goldfish,horse,lizard,butterfly
turkey,crocodile,fox,elephant,goldfish,lizard,hog,bear,cow
sparrow,turtle,mouse,whale,rat,spider,elephant,pigeon,horse
