ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
pigeon,elephant,goat,hog,bluebird,snake,monkey,lizard,bat
shark,cat,spider,rat,frog,owl,sheep,pigeon,whale
duck,fox,sparrow,shark,dog,ladybug,monkey,snake,hog
dog,snail,horse,turtle,sparrow,goldfish,shark,rat,fox
snake,ant,dolphin,sparrow,ladybug,butterfly,turtle,monkey,spider
dolphin,crocodile,ladybug,giraffe,snail,mouse,rat,bat,hog
fox,ladybug,bat,lizard,ant,goat,dolphin,turtle,cat
frog,elephant,eagle,rat,monkey,ladybug,dolphin,whale,shark
hog,spider,bluebird,ant,elephant,cow,dog,snake,crocodile
snake,bear,elephant,crocodile,eagle,hog,lizard,cat,turkey
dog,elephant,goat,crocodile,turkey,butterfly,bat,whale,hog
bat,goldfish,dog,hog,frog,spider,giraffe,shark,whale
cat,turtle,elephant,shark,frog,spider,bear,eagle,crocodile
eagle,mouse,giraffe,bear,crocodile,dolphin,rat,sheep,pigeon
duck,dog,spider,shark,crocodile,mouse,cow,giraffe,turtle
bat,snake,snail,sheep,turtle,crocodile,lizard,fox,rat
whale,spider,turkey,turtle,dog,owl,mouse,hog,shark
fox,cat,elephant,snail,mouse,hog,ant,sheep,spider
goldfish,snake,ladybug,turkey,eagle,shark,dolphin,frog,snail
bear,cat,lizard,giraffe,owl,horse,ant,pigeon,sparrow
lizard,dolphin,whale,eagle,tiger,rat,horse,goat,goldfish
turkey,turtle,bat,bluebird,giraffe,cat,pigeon,ant,shark
duck,eagle,turkey,butterfly,lizard,ant,goldfish,sheep,horse
crocodile,turkey,duck,sparrow,bear,tiger,cow,butterfly,frog
ant,turkey,bear,crocodile,turtle,lizard,bluebird,dolphin,frog
turkey,monkey,bat,ladybug,tiger,eagle,duck,horse,ant
monkey,dog,bat,duck,turtle,ant,horse,dolphin,crocodile
ladybug,sheep,turkey,monkey,snake,cow,pigeon,rat,snail
lizard,rat,ant,giraffe,spider,goldfish,fox,dog,elephant
spider,snail,turtle,giraffe,mouse,duck,tiger,ant,dog
horse,sparrow,elephant,cow,snake,bear,dolphin,monkey,pigeon
fox,bear,tiger,pigeon,giraffe,bluebird,dolphin,goat,goldfish
mouse,duck,eagle,lizard,snail,goat,cat,butterfly,crocodile
bluebird,crocodile,turkey,sheep,goat,sparrow,goldfish,butterfly,mouse
cow,lizard,frog,rat,turkey,tiger,eagle,goldfish,sparrow
sheep,crocodile,sparrow,bear,bat,cow,snail,pigeon,ladybug
snake,goat,goldfish,owl,dog,frog,bat,tiger,duck
owl,rat,spider,giraffe,cat,turtle,lizard,dog,crocodile
cat,cow,dolphin,hog,snake,dog,sheep,butterfly,snail
goat,whale,hog,ladybug,eagle,bear,ant,turtle,cow
rat,tiger,ant,hog,mouse,lizard,frog,cow,pigeon
ladybug,shark,hog,cat,duck,mouse,dolphin,eagle,fox
bat,tiger,pigeon,snail,duck,turkey,snake,cat,horse
tiger,fox,ant,pigeon,lizard,goat,snake,eagle,turtle
dolphin,bear,turtle,sheep,goat,bat,ladybug,fox,tiger
turtle,bear,monkey,lizard,dog,owl,sheep,ladybug,eagle
dog,dolphin,pigeon,shark,turtle,cat,monkey,mouse,ant
whale,goat,sparrow,elephant,tiger,bluebird,frog,crocodile,snake
ant,snail,sparrow,monkey,cow,cat,dog,hog,whale
fox,duck,crocodile,shark,turkey,owl,spider,snail,butterfly
whale,duck,cow,owl,lizard,dolphin,shark,ant,butterfly
goldfish,tiger,bat,giraffe,rat,bear,horse,fox,owl
bluebird,ladybug,whale,shark,pigeon,elephant,snake,tiger,ant
frog,snail,spider,lizard,sheep,butterfly,dog,goldfish,fox
ant,butterfly,rat,fox,goldfish,duck,giraffe,spider,horse
rat,horse,turtle,eagle,ladybug,sheep,whale,bat,cat
whale,eagle,monkey,ladybug,bear,goldfish,crocodile,sheep,goat
frog,dog,cow,cat,hog,tiger,snail,owl,snake
owl,hog,bat,goat,horse,fox,whale,duck,snake
turtle,dolphin,tiger,frog,bat,monkey,mouse,ladybug,fox
goat,monkey,shark,pigeon,fox,tiger,snake,lizard,dog
horse,rat,ladybug,pigeon,turtle,dolphin,snail,owl,cat
cow,giraffe,whale,owl,crocodile,bluebird,mouse,elephant,turtle
turkey,elephant,goldfish,cow,bear,crocodile,lizard,fox,hog
giraffe,tiger,bear,eagle,cow,goldfish,pigeon,crocodile,shark
elephant,goat,rat,ant,crocodile,eagle,sparrow,turtle,owl
lizard,pigeon,owl,ladybug,dolphin,mouse,cat,tiger,duck
sheep,snake,mouse,bluebird,shark,owl,cat,tiger,elephant
ant,duck,fox,goat,bluebird,elephant,frog,tiger,owl
