ref,stim1,stim2,stim3,stim4,stim5,stim6,stim7,stim8
giraffe,dog,cow,sheep,hog,elephant,bear,snail,spider
snake,cat,hog,turkey,crocodile,eagle,elephant,bear,lizard
frog,horse,whale,dolphin,duck,giraffe,ant,turtle,pigeon
goat,lizard,tiger,dog,pigeon,fox,shark,monkey,snake
sparrow,tiger,sheep,duck,crocodile,ant,frog,lizard,cow
whale,sheep,goldfish,goat,ladybug,bear,monkey,eagle,crocodile
ant,hog,cat,whale,monkey,cow,sparrow,snail,dog
whale,crocodile,bluebird,snake,elephant,tiger,sparrow,goat,frog
rat,duck,tiger,fox,sparrow,bluebird,dog,lizard,crocodile
turkey,owl,dolphin,sparrow,cow,dog,lizard,butterfly,goat
owl,cow,turkey,eagle,ant,sparrow,elephant,frog,mouse
snail,eagle,whale,hog,elephant,bat,snake,butterfly,bear
monkey,owl,frog,horse,pigeon,snake,sheep,dog,cat
lizard,dog,goldfish,elephant,giraffe,spider,ant,rat,fox
goldfish,duck,dog,pigeon,tiger,cow,giraffe,goat,lizard
cow,elephant,bluebird,turtle,owl,crocodile,whale,giraffe,mouse
snake,rat,ant,goldfish,goat,bluebird,mouse,spider,pigeon
fox,snail,owl,butterfly,shark,turkey,crocodile,duck,spider
crocodile,goat,pigeon,cow,goldfish,turkey,dolphin,ladybug,sheep
sheep,pigeon,cow,ladybug,bear,bat,sparrow,crocodile,snail
tiger,turkey,rat,bear,monkey,hog,goldfish,horse,giraffe
butterfly,whale,bat,crocodile,turtle,shark,lizard,monkey,turkey
bat,fox,crocodile,rat,sheep,turtle,snail,snake,lizard
sheep,eagle,pigeon,giraffe,horse,ladybug,whale,fox,lizard
bat,cat,turkey,horse,snail,duck,pigeon,tiger,snake
pigeon,mouse,elephant,owl,shark,turkey,bluebird,crocodile,bear
goat,frog,sparrow,monkey,goldfish,bat,owl,tiger,turkey
whale,fox,eagle,cat,ant,sheep,rat,horse,dolphin
mouse,frog,elephant,dog,spider,ant,bat,turkey,giraffe
duck,sheep,ant,horse,butterfly,lizard,turkey,eagle,goldfish
hog,duck,dolphin,lizard,horse,whale,pigeon,goat,frog
goat,sparrow,sheep,dolphin,spider,giraffe,bat,snail,elephant
duck,snake,ladybug,hog,shark,dog,sparrow,fox,monkey
bear,pigeon,horse,sparrow,giraffe,owl,lizard,cat,ant
ladybug,eagle,mouse,fox,cat,duck,hog,shark,dolphin
sparrow,mouse,turtle,elephant,horse,pigeon,rat,whale,spider
bluebird,fox,frog,crocodile,hog,bat,turtle,goldfish,dolphin
snail,tiger,horse,sheep,turtle,whale,snake,mouse,dolphin
goldfish,fox,bear,owl,giraffe,rat,bat,tiger,horse
bat,spider,sparrow,goat,lizard,dolphin,rat,bear,goldfish
horse,sheep,turkey,goldfish,hog,ant,butterfly,duck,spider
bluebird,tiger,elephant,ant,shark,pigeon,whale,ladybug,snake
giraffe,turtle,ant,snake,owl,sparrow,ladybug,dolphin,turkey
bluebird,monkey,hog,bear,dog,cow,lizard,frog,horse
elephant,crocodile,horse,sheep,turtle,pigeon,bear,frog,dolphin
eagle,turtle,hog,snail,frog,cat,sparrow,turkey,cow
mouse,bluebird,owl,sheep,turtle,snake,fox,dolphin,monkey
dog,whale,butterfly,hog,crocodile,turkey,goat,elephant,bat
cow,butterfly,giraffe,cat,hog,horse,bear,ant,owl
snail,shark,hog,crocodile,giraffe,goat,bluebird,frog,butterfly
fox,frog,dog,sparrow,horse,pigeon,bluebird,eagle,snake
tiger,eagle,goat,turtle,pigeon,lizard,ant,fox,snake
snail,fox,turkey,ladybug,sparrow,cat,duck,monkey,pigeon
hog,pigeon,rat,shark,tiger,sheep,duck,butterfly,monkey
dog,snail,crocodile,horse,turkey,sheep,duck,spider,snake
fox,whale,rat,duck,cow,dog,crocodile,monkey,eagle
crocodile,snake,hog,spider,shark,turtle,horse,dog,fox
owl,turtle,horse,pigeon,bluebird,crocodile,shark,tiger,fox
turkey,fox,crocodile,hog,cow,bear,goldfish,elephant,lizard
bat,cat,owl,monkey,elephant,ant,cow,eagle,pigeon
horse,monkey,eagle,bat,cow,mouse,tiger,fox,whale
butterfly,goat,ladybug,dolphin,hog,elephant,duck,giraffe,bluebird
frog,ant,duck,hog,cat,bat,bear,turkey,sparrow
monkey,whale,sheep,snail,spider,eagle,butterfly,bluebird,pigeon
cow,goldfish,tiger,sparrow,rat,turkey,frog,lizard,eagle
hog,goat,sparrow,fox,turkey,horse,goldfish,bear,ladybug
goat,turtle,bear,cow,ladybug,eagle,hog,whale,ant
sheep,tiger,owl,elephant,bluebird,shark,mouse,snake,cat
sparrow,owl,goldfish,butterfly,dolphin,goat,dog,ladybug,fox
rat,elephant,giraffe,pigeon,snake,snail,bear,butterfly,ant
